Date,ssec
9/1/23,3110.48 
8/1/23,3119.88 
7/1/23,3291.04 
6/1/23,3202.06 
5/1/23,3204.56 
4/1/23,3323.27 
3/1/23,3272.86 
2/1/23,3279.61 
1/1/23,3255.67 
12/1/22,3089.26 
11/1/22,3151.34 
10/1/22,2893.48 
9/1/22,3024.39 
8/1/22,3202.14 
7/1/22,3253.24 
6/1/22,3398.62 
5/1/22,3186.43 
4/1/22,3047.06 
3/1/22,3252.20 
2/1/22,3462.31 
1/1/22,3361.44 
12/1/21,3639.78 
11/1/21,3563.89 
10/1/21,3547.34 
9/1/21,3568.17 
8/1/21,3543.94 
7/1/21,3397.36 
6/1/21,3591.20 
5/1/21,3615.48 
4/1/21,3446.86 
3/1/21,3441.91 
2/1/21,3509.08 
1/1/21,3483.07 
12/1/20,3473.07 
11/1/20,3391.76 
10/1/20,3224.53 
9/1/20,3218.05 
8/1/20,3395.68 
7/1/20,3310.01 
6/1/20,2984.67 
5/1/20,2852.35 
4/1/20,2860.08 
3/1/20,2750.30 
2/1/20,2880.30 
1/1/20,2976.53 
12/1/19,3050.12 
11/1/19,2871.98 
10/1/19,2929.06 
9/1/19,2905.19 
8/1/19,2886.24 
7/1/19,2932.51 
6/1/19,2978.88 
5/1/19,2898.70 
4/1/19,3078.34 
3/1/19,3090.76 
2/1/19,2940.95 
1/1/19,2584.57 
12/1/18,2493.90 
11/1/18,2588.19 
10/1/18,2602.78 
9/1/18,2821.35 
8/1/18,2725.25 
7/1/18,2876.40 
6/1/18,2847.42 
5/1/18,3095.47 
4/1/18,3082.23 
3/1/18,3168.90 
2/1/18,3259.41 
1/1/18,3480.83 
12/1/17,3307.17 
11/1/17,3317.19 
10/1/17,3393.34 
9/1/17,3348.94 
8/1/17,3360.81 
7/1/17,3273.03 
6/1/17,3192.43 
5/1/17,3117.18 
4/1/17,3154.66 
3/1/17,3222.51 
2/1/17,3241.73 
1/1/17,3159.17 
12/1/16,3103.64 
11/1/16,3250.03 
10/1/16,3100.49 
9/1/16,3004.70 
8/1/16,3085.49 
7/1/16,2979.34 
6/1/16,2929.61 
5/1/16,2916.62 
4/1/16,2938.32 
3/1/16,3003.92 
2/1/16,2687.98 
1/1/16,2737.60 
12/1/15,3539.18 
11/1/15,3445.40 
10/1/15,3382.56 
9/1/15,3052.78 
8/1/15,3205.99 
7/1/15,3663.73 
6/1/15,4277.22 
5/1/15,4611.74 
4/1/15,4441.66 
3/1/15,3747.90 
2/1/15,3310.30 
1/1/15,3210.36 
12/1/14,3234.68 
11/1/14,2682.83 
10/1/14,2420.18 
9/1/14,2363.87 
8/1/14,2217.20 
7/1/14,2201.56 
6/1/14,2048.33 
5/1/14,2039.21 
4/1/14,2026.36 
3/1/14,2033.31 
2/1/14,2056.30 
1/1/14,2033.08 
12/1/13,2115.98 
11/1/13,2220.50 
10/1/13,2141.61 
9/1/13,2174.66 
8/1/13,2098.38 
7/1/13,1993.80 
6/1/13,1979.21 
5/1/13,2300.59 
4/1/13,2177.91 
3/1/13,2236.62 
2/1/13,2365.59 
1/1/13,2385.42 
12/1/12,2269.13 
11/1/12,1980.12 
10/1/12,2068.88 
9/1/12,2086.17 
8/1/12,2047.52 
7/1/12,2103.63 
6/1/12,2225.43 
5/1/12,2372.23 
4/1/12,2396.32 
3/1/12,2262.79 
2/1/12,2428.49 
1/1/12,2292.61 
12/1/11,2199.42 
11/1/11,2333.41 
10/1/11,2468.25 
9/1/11,2359.22 
8/1/11,2567.34 
7/1/11,2701.73 
6/1/11,2762.08 
5/1/11,2743.47 
4/1/11,2911.51 
3/1/11,2928.11 
2/1/11,2905.05 
1/1/11,2790.69 
12/1/10,2808.08 
11/1/10,2820.18 
10/1/10,2978.83 
9/1/10,2655.66 
8/1/10,2638.80 
7/1/10,2637.50 
6/1/10,2398.37 
