DATE,CPI,PPI,Total_reserves,Exports,Imports,US imports,Exchange,Eff. Exchange Rate,Uncertainty
1994-01-01,4.04827106721691,157.1,26355.0026288031,57470009999.99999,73325050000.0,2763.1,8.7219,52.8,131.363480039216
1994-02-01,2.31036631637199,156.2,29065.1142945099,65716030000.0,72126390000.0,2499.2,8.7249,53.07,59.1435971255622
1994-03-01,1.1895064852058,157.5,29826.4625859565,75243830000.0,78142750000.0,2183.0,8.7241,53.23,156.86194075751
1994-04-01,2.30097202777385,156.2,31368.8510292932,80268800000.0,84897640000.0,2491.6,8.7251,54.17,164.194947454372
1994-05-01,1.16350158326248,158.0,31779.9440153072,82263200000.0,79498040000.0,2979.0,8.6859,54.52,38.9578216305092
1994-06-01,0.93188204950407,159.3,33100.3238783834,90208760000.0,85778950000.0,3463.3,8.6836,54.74,150.220555225315
1994-07-01,0.4411470288582589,159.4,36373.3989423732,89932750000.0,83988869999.99998,3645.4,8.6605,54.14,117.285298206172
1994-08-01,3.62583170769558,159.4,37561.6590662324,85558210000.0,83810190000.0,4165.8,8.6072,56.13,118.439165266996
1994-09-01,3.8486921108194494,158.1,41242.2886662382,87517180000.00002,78401820000.0,4134.4,8.5581,57.99,129.974206205103
1994-10-01,1.04317316175616,158.1,45004.1762384763,88920070000.0,83082930000.0,4101.2,8.5492,58.12,82.2094759684741
1994-11-01,0.7088230279010419,159.5,50293.5046571998,101127800000.0,82859440000.0,3534.3,8.537,58.74,134.985960616043
1994-12-01,1.40667207857889,160.2,52914.0628843961,109480100000.0,86560459999.99998,2826.5,8.5033,60.29,117.08423847274
1995-01-01,2.8875740133703,162.0,56098.0045807343,101849400000.0,76303050000.0,3450.6,8.4608,61.94,153.323633120957
1995-02-01,0.908853900119508,160.8,58718.6180460184,100155100000.0,85626719999.99998,3001.5,8.4553,61.96,97.9674531880432
1995-03-01,0.2801246662523448,162.2,59351.5649143833,110497700000.0,87524570000.0,2910.4,8.4483,60.16,166.829927515745
1995-04-01,1.7949485702642598,160.8,61406.2619837506,104962000000.0,91561730000.0,3148.3,8.4421,59.37,79.3167005658923
1995-05-01,0.8282459095593699,162.2,62157.7948307,105731100000.0,90943270000.0,3654.9,8.337,60.6,24.0960446662769
1995-06-01,-0.8300221346295559,162.3,64226.8603476054,110987900000.0,90530360000.0,3960.7,8.3206,59.96,97.7784152118356
1995-07-01,-0.833484966557932,164.4,67194.7521256488,102209000000.0,93160640000.0,4311.8,8.3207,59.88,226.482646627575
1995-08-01,1.6723018547276003,164.4,69086.9732410973,100257100000.0,93972690000.0,4804.7,8.3253,62.37,85.4767351180315
1995-09-01,2.6696231668727,162.9,71426.1819783994,101597000000.0,96964130000.0,4584.1,8.3374,64.74,144.163125683374
1995-10-01,0.0613060883098733,162.9,74656.3172369884,99854450000.0,92409030000.0,4714.3,8.3353,64.11,80.8379785116787
1995-11-01,-0.0997218397397147,164.3,76150.9534196291,95863580000.0,94559790000.0,3868.0,8.3334,64.5,161.490169458561
1995-12-01,0.4035473767888578,165.0,75376.7028695104,104637999999.99998,92932340000.0,3133.9,8.335,64.85,63.2844887603519
1996-01-01,1.85963272780506,166.1,77862.6213822107,97387230000.0,107306700000.0,3657.7,8.3384,66.78,65.0855485013196
1996-02-01,1.18658479763925,165.0,81560.6824941767,95938200000.0,93108630000.0,3539.6,8.3338,67.36,120.675513862322
1996-03-01,0.738862569892468,166.6,82701.2262608403,90764630000.0,96963100000.0,2863.7,8.3495,67.62,68.0594086378275
1996-04-01,1.70223992386538,165.0,83681.8711771112,96360310000.0,91952159999.99998,3247.9,8.3515,68.82,115.70675114772
1996-05-01,0.0929432263848267,167.0,86895.1129462122,100771500000.0,95858020000.0,3954.3,8.3479,68.69,84.1426680611322
1996-06-01,-1.10321654509733,167.5,88605.8899337074,100292400000.0,94867880000.0,4111.2,8.3424,68.55,65.9275111913031
1996-07-01,-1.10742695036933,167.4,91713.496132438,100986900000.0,90603250000.0,4816.7,8.3409,67.85,37.9951439802933
1996-08-01,1.4845422516605402,168.8,95214.9781541121,112748100000.0,93979080000.0,5495.7,8.3379,68.25,96.0541596760067
1996-09-01,2.00478755719946,167.2,97362.3188014037,108336900000.0,89167950000.0,5480.7,8.3341,69.82,28.5886944244671
1996-10-01,-0.311361776374038,167.2,100858.840427332,119473400000.0,92556690000.0,5812.9,8.3299,69.78,104.662207604088
1996-11-01,-0.1930876536995899,168.8,104325.739110838,108531300000.0,93144940000.0,4585.4,8.3294,69.54,41.7703682662905
1996-12-01,0.4974708128552099,169.5,107039.4250394,114825500000.0,102699100000.0,3947.0,8.329,70.36,76.8183841556326
1997-01-01,0.812477989390458,170.9,110628.892548475,121158600000.0,102450700000.0,4667.6,8.326,72.05,62.2342672281337
1997-02-01,0.8999370274034799,170.4,112219.437391715,109935700000.0,90986440000.0,4262.4,8.3227,74.02,46.343704348217
1997-03-01,-0.7874839337445941,172.2,113962.115609558,121961800000.0,95254930000.0,3628.6,8.3258,73.7,157.07197665166
