DATE,price_comp
1/1/91,98.9
2/1/91,99.2
3/1/91,97.5
4/1/91,95.5
5/1/91,95.6
6/1/91,95.2
7/1/91,96.2
8/1/91,96.5
9/1/91,97.1
10/1/91,96.9
11/1/91,98
12/1/91,99
1/1/92,98.4
2/1/92,98
3/1/92,98
4/1/92,98.3
5/1/92,98.1
6/1/92,98.6
7/1/92,100.1
8/1/92,101.2
9/1/92,102.5
10/1/92,104.6
11/1/92,103.3
12/1/92,104.1
1/1/93,104.4
2/1/93,105
3/1/93,105.1
4/1/93,104.9
5/1/93,104
6/1/93,103.2
7/1/93,102.9
8/1/93,104.5
9/1/93,106.2
10/1/93,106.3
11/1/93,104.7
12/1/93,104.2
1/1/94,103.3
2/1/94,103
3/1/94,104.2
4/1/94,103.9
5/1/94,104.5
6/1/94,105.1
7/1/94,106.1
8/1/94,106.8
9/1/94,106.4
10/1/94,106.6
11/1/94,106.5
12/1/94,106.2
1/1/95,107.2
2/1/95,108.4
3/1/95,111.9
4/1/95,111.7
5/1/95,110.6
6/1/95,110.4
7/1/95,110.4
8/1/95,108.9
9/1/95,108.9
10/1/95,110.3
11/1/95,109.9
12/1/95,108.8
1/1/96,108.1
2/1/96,108
3/1/96,107.3
4/1/96,106.5
5/1/96,105.5
6/1/96,105.7
7/1/96,106.1
8/1/96,106.9
9/1/96,106.1
10/1/96,105.3
11/1/96,105.1
12/1/96,103.9
1/1/97,103.8
2/1/97,103
3/1/97,103.1
4/1/97,102.3
5/1/97,102.1
6/1/97,101.2
7/1/97,99.6
8/1/97,99.4
9/1/97,100.5
10/1/97,100.7
11/1/97,100.9
12/1/97,100.6
1/1/98,100
2/1/98,99.6
3/1/98,99.3
4/1/98,99.8
5/1/98,101.1
6/1/98,100.9
7/1/98,100.9
8/1/98,101.5
9/1/98,102.3
10/1/98,102.7
11/1/98,102
12/1/98,101.8
1/1/99,101
2/1/99,99.8
3/1/99,99.2
4/1/99,99.1
5/1/99,98.7
6/1/99,97.9
7/1/99,98.1
8/1/99,98.2
9/1/99,97.3
10/1/99,97.6
11/1/99,96.7
12/1/99,95.8
1/1/00,96
2/1/00,95.3
3/1/00,94.3
4/1/00,93.4
5/1/00,92.4
6/1/00,93.7
7/1/00,93.5
8/1/00,92.4
9/1/00,91.6
10/1/00,90.9
11/1/00,91.1
12/1/00,92.4
1/1/01,93.9
2/1/01,93.8
3/1/01,93.7
4/1/01,93.3
5/1/01,92.6
6/1/01,92
7/1/01,92
8/1/01,93.2
9/1/01,93.1
10/1/01,93
11/1/01,92.5
12/1/01,92.8
1/1/02,92.9
2/1/02,92.6
3/1/02,92.5
4/1/02,92.6
5/1/02,93.1
6/1/02,93.9
7/1/02,94.3
8/1/02,93.8
9/1/02,93.8
10/1/02,93.7
11/1/02,94
12/1/02,94.2
1/1/03,95.6
2/1/03,96
3/1/03,96.3
4/1/03,96.4
5/1/03,98
6/1/03,98.2
7/1/03,97.5
8/1/03,96.9
9/1/03,96.8
10/1/03,97.4
11/1/03,97.2
12/1/03,98.1
1/1/04,99
