DATE,M1,Unemp,Emp
1/1/91,174324,7.8,71.9
2/1/91,174474,8,71.7
3/1/91,180070,8.2,71.5
4/1/91,178767,8.5,71.2
5/1/91,182331,8.7,71
6/1/91,185210,8.8,70.7
7/1/91,181565,9,70.5
8/1/91,180004,9.2,70.3
9/1/91,186067,9.3,70.1
10/1/91,181008,9.4,69.9
11/1/91,183658,9.5,69.8
12/1/91,183763,9.5,69.6
1/1/92,181662,9.6,69.5
2/1/92,181842,9.7,69.4
3/1/92,188024,9.8,69.3
4/1/92,187699,9.8,69.2
5/1/92,188056,9.8,69.1
6/1/92,189989,9.9,69
7/1/92,186947,9.9,68.9
8/1/92,184141,9.9,68.9
9/1/92,191295,10.1,68.8
10/1/92,192629,10.2,68.7
11/1/92,195819,10.4,68.5
12/1/92,191757,10.5,68.4
1/1/93,189553,10.7,68.3
2/1/93,192026,10.6,68.4
3/1/93,196573,10.6,68.3
4/1/93,196168,10.5,68.4
5/1/93,198991,10.4,68.4
6/1/93,200963,10.4,68.4
7/1/93,201165,10.3,68.4
8/1/93,203072,10.2,68.5
9/1/93,204579,10.3,68.5
10/1/93,203856,10.2,68.5
11/1/93,209227,10.3,68.5
12/1/93,210927,10.3,68.5
1/1/94,212538,10.1,68.6
2/1/94,214541,9.9,68.7
3/1/94,219160,9.8,68.8
4/1/94,216936,9.7,68.8
5/1/94,219802,9.7,68.8
6/1/94,217632,9.6,69
7/1/94,217784,9.5,69
8/1/94,219561,9.4,69
9/1/94,220399,9.3,69
10/1/94,218063,9.1,69.1
11/1/94,221095,9,69.1
12/1/94,218013,8.9,69
1/1/95,218028,8.9,69.1
2/1/95,221806,8.9,69.2
3/1/95,233846,8.8,69.3
4/1/95,228208,8.8,69.4
5/1/95,232410,8.7,69.4
6/1/95,232449,8.7,69.5
7/1/95,236108,8.6,69.6
8/1/95,245470,8.6,69.6
9/1/95,251377,8.6,69.7
10/1/95,247583,8.6,69.7
11/1/95,249812,8.3,69.9
12/1/95,249216,8.4,70
1/1/96,250562,8.3,69.9
2/1/96,251192,8.2,69.9
3/1/96,260107,8.3,69.9
4/1/96,259556,8.3,69.9
5/1/96,259870,8.3,69.9
6/1/96,269749,8.2,69.9
7/1/96,267076,8.1,70
8/1/96,263626,8.1,70
9/1/96,278643,8.1,70.1
10/1/96,268664,8,70.3
11/1/96,274377,7.8,70.3
12/1/96,271280,7.7,70.5
1/1/97,274230,7.5,70.6
2/1/97,277033,7.3,70.8
3/1/97,288854,7.2,70.9
4/1/97,288107,7.2,70.9
5/1/97,297794,7.2,71
6/1/97,326303,7.3,70.9
7/1/97,331402,7.1,70.9
8/1/97,325455,6.8,71.1
9/1/97,331354,6.7,71.1
10/1/97,327788,6.6,71.2
11/1/97,334472,6.5,71.2
12/1/97,327876,6.4,71.2
1/1/98,331633,6.4,71.2
2/1/98,335391,6.4,71.3
3/1/98,351540,6.3,71.3
4/1/98,342578,6.3,71.3
5/1/98,351488,6.3,71.3
6/1/98,360803,6.3,71.4
7/1/98,352855,6.3,71.6
8/1/98,348770,6.2,71.6
9/1/98,359890,6.2,71.6
10/1/98,358894,6.2,71.8
11/1/98,368982,6.1,71.8
12/1/98,353920,6.2,71.9
1/1/99,359951,6.2,71.9
2/1/99,362493,6.2,71.9
3/1/99,374161,6.2,71.8
4/1/99,369023,6.1,71.8
5/1/99,372564,6,71.9
6/1/99,388420,6,71.9
7/1/99,382941,5.9,72
8/1/99,386005,5.9,72.1
9/1/99,390568,5.8,72.1
10/1/99,391250,5.8,72.2
11/1/99,400650,5.8,72.3
12/1/99,390731,5.9,72.2
1/1/00,402359,5.8,72.2
2/1/00,404313,5.8,72.3
3/1/00,418147,5.7,72.3
4/1/00,418631,5.6,72.4
5/1/00,430526,5.5,72.5
6/1/00,438814,5.3,72.6
7/1/00,437535,5.3,72.7
8/1/00,435987,5.3,72.6
9/1/00,446786,5.4,72.5
10/1/00,450245,5.3,72.4
11/1/00,448926,5.2,72.5
12/1/00,451750,5.2,72.7
1/1/01,457305,5.2,72.6
2/1/01,459585,5.1,72.6
3/1/01,482339,5,72.7
4/1/01,478628,4.9,72.7
5/1/01,482980,5,72.7
6/1/01,491547,5,72.6
7/1/01,492632,5.1,72.6
8/1/01,484083,5.1,72.5
9/1/01,505598,5.1,72.5
10/1/01,502863,5.1,72.6
11/1/01,505822,5.2,72.6
12/1/01,501962,5.2,72.5
1/1/02,495981,5.1,72.5
2/1/02,496013,5.2,72.5
3/1/02,508735,5.2,72.6
4/1/02,503636,5.2,72.6
5/1/02,507596,5.2,72.7
6/1/02,528891,5.2,72.6
7/1/02,522458,5.2,72.7
8/1/02,521244,5.3,72.6
9/1/02,540300,5.2,72.7
10/1/02,535512,5.2,72.8
11/1/02,540369,5.1,72.9
12/1/02,541918,5,72.8
1/1/03,538903,5.1,72.6
2/1/03,543957,5.2,72.7
3/1/03,560638,5.1,72.7
4/1/03,552705,5,72.8
5/1/03,567765,4.9,72.9
6/1/03,572362,5.1,72.8
7/1/03,561559,5.1,72.8
8/1/03,567110,5,72.8
9/1/03,584193,5,72.8
10/1/03,583603,4.9,72.8
11/1/03,593071,4.9,72.8
12/1/03,593848,4.8,73
1/1/04,599204,4.8,73
2/1/04,599676,4.8,73
3/1/04,621874,4.8,73
4/1/04,621945,4.8,72.9
5/1/04,622445,4.8,72.9
6/1/04,642165,4.8,72.8
7/1/04,636944,4.7,72.8
8/1/04,647188,4.7,72.9
9/1/04,655331,4.7,72.9
10/1/04,657842,4.7,73
11/1/04,672219,4.7,73
12/1/04,669244,4.7,73.1
1/1/05,675506,4.8,73.2
2/1/05,677996,4.7,73.1
3/1/05,696570,4.7,72.9
4/1/05,686966,4.8,72.9
5/1/05,710084,4.8,72.9
6/1/05,716384,4.7,73
7/1/05,713824,4.7,73
8/1/05,720320,4.7,73
9/1/05,735656,4.9,72.9
10/1/05,735231,5.1,72.8
11/1/05,751444,5.1,72.7
12/1/05,756281,5.1,72.8
1/1/06,749760,5.2,72.8
2/1/06,760417,5.2,72.9
3/1/06,778594,5.3,72.9
4/1/06,774343,5.4,72.8
5/1/06,785442,5.5,72.8
6/1/06,789344,5.5,72.9
7/1/06,789999,5.5,73
8/1/06,793105,5.5,72.8
9/1/06,802905,5.5,72.8
10/1/06,809591,5.4,72.7
11/1/06,821970,5.5,72.7
12/1/06,836518,5.5,72.6
1/1/07,822779,5.5,72.5
2/1/07,828880,5.5,72.5
3/1/07,850238,5.5,72.5
4/1/07,839395,5.4,72.7
5/1/07,867673,5.4,72.7
6/1/07,883075,5.3,72.6
7/1/07,883418,5.3,72.6
8/1/07,890115,5.3,72.7
9/1/07,915076,5.2,72.8
10/1/07,913111,5.2,72.8
11/1/07,926993,5.2,72.9
12/1/07,922297,5.2,72.9
1/1/08,1010095,5.2,73
2/1/08,1007677,5.2,73
3/1/08,1033880,5.3,73
4/1/08,1002412,5.2,73
5/1/08,1005326,5.4,72.9
6/1/08,1011527,5.5,72.8
7/1/08,987128,5.7,72.6
8/1/08,971736,5.9,72.4
9/1/08,999615,6,72.3
10/1/08,986490,6.2,72.3
11/1/08,1016760,6.4,72.2
12/1/08,1029356,6.5,72.2
1/1/09,1037596,6.7,71.9
2/1/09,1035691,7.1,71.7
3/1/09,1045565,7.3,71.4
4/1/09,1007574,7.6,71
5/1/09,1010491,7.8,70.8
6/1/09,1010426,7.9,70.6
7/1/09,995665,7.9,70.7
8/1/09,1001048,7.8,70.6
9/1/09,1052713,7.9,70.6
10/1/09,1047460,7.8,70.6
11/1/09,1066825,7.8,70.6
12/1/09,1061454,7.7,70.4
1/1/10,1085517,7.9,70.3
2/1/10,1099975,8,70.2
3/1/10,1114759,8,70.2
4/1/10,1082850,7.9,70.4
5/1/10,1103421,7.9,70.4
6/1/10,1119393,7.8,70.6
7/1/10,1098996,7.8,70.6
8/1/10,1084440,7.8,70.7
9/1/10,1088855,7.9,70.5
10/1/10,1091191,7.9,70.3
11/1/10,1085904,7.9,70.4
12/1/10,1080439,7.9,70.5
1/1/11,1067747,7.8,70.6
2/1/11,1064093,7.8,70.5
3/1/11,1096406,7.7,70.5
4/1/11,1068880,7.8,70.5
5/1/11,1090810,7.9,70.5
6/1/11,1081145,8,70.2
7/1/11,1079598,8.2,70.2
8/1/11,1092195,8.3,70.1
9/1/11,1104685,8.4,70.1
10/1/11,1090285,8.5,70.1
11/1/11,1117138,8.4,70.2
12/1/11,1081410,8.3,70.2
1/1/12,1084053,8.3,70.3
2/1/12,1078247,8.2,70.5
3/1/12,1100790,8.2,70.5
4/1/12,1074958,8.1,70.7
5/1/12,1089496,8,70.9
6/1/12,1113740,8,71.1
7/1/12,1114527,7.9,71.2
8/1/12,1101137,7.8,71.1
9/1/12,1132131,7.8,71.1
10/1/12,1126767,7.8,71.3
11/1/12,1146558,7.8,71.4
12/1/12,1155239,7.8,71.4
1/1/13,1157242,8,71.2
2/1/13,1170962,7.8,71.2
3/1/13,1196504,7.8,71.2
4/1/13,1192529,7.7,71.2
5/1/13,1207141,7.7,71.3
6/1/13,1227175,7.7,71.5
7/1/13,1228544,7.7,71.5
8/1/13,1222933,7.6,71.6
9/1/13,1240196,7.4,71.9
10/1/13,1250308,7.2,72
11/1/13,1271822,7.2,72
12/1/13,1279731,7.1,72.1
1/1/14,1281287,6.9,72.4
2/1/14,1293726,6.7,72.5
3/1/14,1318447,6.6,72.7
4/1/14,1307150,6.4,72.9
5/1/14,1321918,6.3,72.8
6/1/14,1336076,6.1,72.8
7/1/14,1329388,6,73
8/1/14,1324428,6,73
9/1/14,1345422,5.9,73
10/1/14,1339578,5.9,73
11/1/14,1364379,5.7,73.2
12/1/14,1370980,5.6,73.3
1/1/15,1374147,5.6,73.4
2/1/15,1367558,5.5,73.4
3/1/15,1402650,5.5,73.4
4/1/15,1393977,5.6,73.3
5/1/15,1403350,5.6,73.4
6/1/15,1417322,5.5,73.5
7/1/15,1427605,5.4,73.5
8/1/15,1422947,5.3,73.7
9/1/15,1444924,5.2,73.9
10/1/15,1454742,5.1,74
11/1/15,1467135,5.1,74.1
12/1/15,1460532,5.1,74
1/1/16,1471261,5.1,74.1
2/1/16,1499729,5.1,74.1
3/1/16,1522403,5,74.1
4/1/16,1507905,4.9,74.3
5/1/16,1531728,4.9,74.4
6/1/16,1596184,4.9,74.5
7/1/16,1597060,5,74.4
8/1/16,1603433,4.8,74.4
9/1/16,1609311,4.8,74.4
10/1/16,1618050,4.8,74.4
11/1/16,1616999,4.7,74.5
12/1/16,1622180,4.7,74.5
1/1/17,1606038,4.6,74.6
2/1/17,1613995,4.6,74.7
3/1/17,1650695,4.5,74.7
4/1/17,1644303,4.4,74.8
5/1/17,1663339,4.4,75
6/1/17,1675576,4.3,75.2
7/1/17,1671181,4.3,75.1
8/1/17,1684731,4.3,74.9
9/1/17,1702523,4.2,75
10/1/17,1695412,4.3,75.2
11/1/17,1705048,4.4,75.1
12/1/17,1701758,4.3,75.2
1/1/18,1699029,4.2,75.3
2/1/18,1694052,4.2,75.5
3/1/18,1702449,4.2,75.5
4/1/18,1701769,4.2,75.5
5/1/18,1730964,4,75.4
6/1/18,1749894,4,75.4
7/1/18,1740079,4,75.4
8/1/18,1747531,4.1,75.4
9/1/18,1763645,4.1,75.6
10/1/18,1784344,4,75.6
11/1/18,1785541,4,75.7
12/1/18,1775685,3.9,76
1/1/19,1747380,4,76
2/1/19,1736825,3.8,75.9
3/1/19,1754522,3.8,76
4/1/19,1750726,3.8,76
5/1/19,1763612,3.9,76.1
6/1/19,1773700,3.9,76
7/1/19,1776656,3.9,75.9
8/1/19,1797051,3.9,76
9/1/19,1811871,3.8,76
10/1/19,1799648,3.8,76.2
11/1/19,1819234,3.7,76.4
12/1/19,1812159,3.9,76.4
1/1/20,1806042,3.9,76.5
2/1/20,1825177,4.1,75.9
3/1/20,1949252,4.1,75.7
4/1/20,1974869,4.1,75.5
5/1/20,2025615,4.1,75.4
6/1/20,2051540,4.4,75.3
7/1/20,2065899,4.6,75
8/1/20,2078755,5,74.6
9/1/20,2096425,5.2,74.5
10/1/20,2131837,5.2,74.5
11/1/20,2159573,5.3,74.3
12/1/20,2179533,5.2,74.3
1/1/21,2175793,5,74.5
2/1/21,2194582,4.9,74.4
3/1/21,2233877,4.8,74.4
4/1/21,2247517,4.8,74.5
5/1/21,2251440,4.7,74.7
6/1/21,2281427,4.6,74.8
7/1/21,2279466,4.5,74.9
8/1/21,2284956,4.4,75
9/1/21,2326605,4.3,75
10/1/21,2356367,4.2,75
11/1/21,2376142,4.2,75.1
12/1/21,2372170,4.1,75
1/1/22,2351964,3.9,75
2/1/22,2367688,3.8,75.1
3/1/22,2416450,3.8,75.2
4/1/22,2404371,3.7,75.4
5/1/22,2422960,3.8,75.1
6/1/22,2450743,3.6,75
7/1/22,2450498,3.6,75
8/1/22,2468431,3.7,75
9/1/22,2575027,3.8,75
10/1/22,2489997,3.9,75
11/1/22,2460540,3.9,75.1
12/1/22,2385914,3.9,75.2
1/1/23,2382252,4,75.2
2/1/23,2370188,4,75.3
3/1/23,2345960,3.9,75.5
4/1/23,2317970,4,75.4
5/1/23,2314168,4.2,75.2
6/1/23,2303815,4.3,74.9
7/1/23,2283652,4.3,74.7
8/1/23,2254398,4.1,74.9
9/1/23,2232090,4,74.9
10/1/23,2230629,4,74.9
11/1/23,2223582,3.9,74.9
12/1/23,2232743,4.1,74.7
1/1/24,2191898,4.2,74.6
2/1/24,2200510,4.3,74.5
3/1/24,2235872,4.4,74.4
4/1/24,2203690,4.4,74.4
5/1/24,2211416,4.2,74.6
6/1/24,2203483,4.2,74.7
7/1/24,2207787,4.1,75
8/1/24,2172630,4.3,74.9
9/1/24,2209903,4.3,74.9
10/1/24,2226012,4.4,74.9
11/1/24,2240937,4.4,75
12/1/24,2229306,4.4,75
