DATE,Share_Prices,CPI,Prod_Vol,Intr_Rate,Intr_10Y,Total Reserves,Uncertainty,Exchange,Exports,Imports
1991-01-01,31.94394,57.0,77.40916,10.59,10.59,36097.317139659695,,1.9346,8470338999.999998,10027970000.0
1991-02-01,34.54787,57.2,77.40916,10.13,10.13,39115.1673390534,,1.9641,8318322999.999998,9350975000.0
1991-03-01,37.14758,57.5,76.56661,10.29,10.29,37275.22678621911,,1.8214,8421284000.0,9984999000.0
1991-04-01,38.1236,58.7,75.51343,10.19,10.19,38542.5265345526,,1.7497,8711617000.0,9451614000.0
1991-05-01,37.8074,59.2,76.4613,10.38,10.38,38501.924912845294,,1.7238,8640139000.0,9692346000.0
1991-06-01,37.83494,59.5,76.67194,10.58,10.58,38205.7638615033,,1.6497,8740049000.0,10040320000.0
1991-07-01,38.3652,59.3,76.04002,10.28,10.28,39257.887863184,,1.6513,8925630000.0,9861808000.0
1991-08-01,39.43264,59.9,75.19747,10.03,10.03,39281.37509191791,,1.6841,8914813000.0,10378010000.0
1991-09-01,39.761109999999995,60.1,75.30279,9.64,9.64,40364.9069767442,,1.7265,8607252000.0,9997826000.0
1991-10-01,39.13484,60.4,76.25066,9.72,9.72,39901.88780934421,,1.7231,8779575999.999998,9957173000.0
1991-11-01,37.9859,60.5,76.4613,9.77,9.77,40456.3823764946,,1.7796,8859028000.0,10146250000.0
1991-12-01,36.5515,60.7,76.14534,9.66,9.66,41891.9846085626,,1.8272,9189127000.0,9980129000.0
1992-01-01,38.2148,60.5,76.14534,9.46,9.46,41163.649828827,,1.809,8470796999.999998,9621350999.999998
1992-02-01,38.56544,60.8,76.56661,9.3,9.3,40861.0167918692,,1.7778,8700043000.0,10206240000.0
1992-03-01,37.83648,61.1,76.25066,9.68,9.68,40194.074074074095,,1.7238,8799676000.0,10114469999.999998
1992-04-01,38.65847,61.8,76.77725,9.43,9.43,40869.31652192969,,1.7566,9059574000.000002,10585090000.0
1992-05-01,40.97684,62.2,75.19747,9.02,9.02,41721.617674574496,,1.8095,9233796000.0,10547980000.0
1992-06-01,39.492329999999995,62.2,75.9347,9.12,9.12,42653.6744951555,,1.8551,8939610000.0,10022890000.0
1992-07-01,37.04821,62.0,76.67194,9.05,9.05,43342.52388654609,,1.9177,8972725000.0,10319060000.0
1992-08-01,35.5448,62.1,76.56661,9.35,9.35,43515.0628438394,,1.9434,8519216999.999998,10629240000.0
