DATE,working_hour_manuf,CPI,Ids_Prd,R_Csump,Ef_Fed_Rate,Intr_10Y,Unemp,M2,M1,Labor_partic,Per_savings,All_Emp,Moody_aaa,NetExports
1992-01-01,40.6,138.3,61.4823,49.068,4.03,7.03,7.3,3381.2,910.4,66.3,9.5,108365,8.2,50251
1992-02-01,40.7,138.6,61.9192,49.123,4.06,7.34,7.4,3400.0,925.2,66.2,9.8,108313,8.29,51682
1992-03-01,40.7,139.1,62.4403,49.213,3.98,7.54,7.4,3403.9,936.7,66.4,9.7,108367,8.35,50294
1992-04-01,40.8,139.4,62.9199,49.254,3.73,7.48,7.4,3399.7,943.8,66.5,9.8,108517,8.33,50302
1992-05-01,40.9,139.7,63.1268,49.509,3.82,7.39,7.6,3398.6,950.6,66.6,9.8,108647,8.28,50044
1992-06-01,40.8,140.1,63.1624,49.643,3.76,7.26,7.8,3393.4,954.3,66.7,10.0,108707,8.22,51727
1992-07-01,40.8,140.5,63.7348,49.808,3.25,6.84,7.7,3393.9,963.3,66.7,9.5,108792,8.07,52533
1992-08-01,40.8,140.8,63.3802,49.932,3.3,6.59,7.6,3398.8,973.7,66.6,9.6,108916,7.95,50940
1992-09-01,40.7,141.1,63.5834,50.257,3.22,6.42,7.6,3410.3,988.0,66.5,8.6,108952,7.92,51984
1992-10-01,40.8,141.7,64.0178,50.426,3.1,6.59,7.3,3423.8,1003.7,66.2,7.9,109138,7.99,53035
1992-11-01,40.9,142.1,64.2628,50.512,3.09,6.87,7.4,3426.5,1015.7,66.3,7.9,109283,8.1,52246
1992-12-01,40.9,142.3,64.3599,50.845,2.92,6.77,7.4,3424.7,1024.9,66.3,10.5,109502,7.98,51843
1993-01-01,41.1,142.8,64.6135,50.772,3.02,6.6,7.3,3419.1,1030.4,66.2,8.5,109790,7.91,52568
1993-02-01,41.1,143.1,64.9262,50.866,3.03,6.26,7.1,3414.5,1033.5,66.2,8.8,110048,7.71,52480
1993-03-01,40.8,143.3,64.8627,50.728,3.07,5.98,7.0,3411.7,1038.4,66.2,8.8,110004,7.58,53035
1993-04-01,41.3,143.8,65.0423,51.07,2.96,5.97,7.1,3411.3,1047.6,66.1,8.7,110300,7.46,53139
1993-05-01,41.1,144.2,64.8006,51.248,3.0,6.04,7.1,3436.9,1065.9,66.4,8.2,110571,7.43,54229
1993-06-01,41.0,144.3,64.9476,51.434,3.04,5.96,7.0,3442.4,1075.1,66.5,7.7,110742,7.33,52346
1993-07-01,41.1,144.5,65.1142,51.687,3.06,5.81,6.9,3442.0,1084.6,66.4,7.5,111054,7.17,52818
1993-08-01,41.1,144.8,65.0421,51.739,3.03,5.68,6.8,3445.7,1094.2,66.4,7.6,111200,6.85,53224
1993-09-01,41.3,145.0,65.3749,52.036,3.09,5.36,6.7,3452.2,1104.2,66.2,6.8,111449,6.66,53648
1993-10-01,41.3,145.6,65.863,52.117,2.99,5.33,6.8,3456.7,1113.1,66.3,6.2,111734,6.67,55476
1993-11-01,41.3,146.0,66.1696,52.263,3.02,5.72,6.6,3470.1,1124.1,66.3,6.2,111988,6.93,54345
