Variable,Coefficient,Lower_CI_95,Upper_CI_95,P_Value
Eff. Exchange Rate,0.0,-0.0,0.0,1.0
SSEC,-0.011882375162581504,-0.104256759231298,0.0,0.6835302582684231
US imports,0.09610560860194997,0.0,0.22699125190226896,0.11754547373451008
Exchange,0.0,-0.0,0.0,1.0
Uncertainty,-0.014650104428969352,-0.07517221242697074,0.028714764313858075,0.5668402942385129
Total_reserves,3.4573980356003938e-06,0.0,0.0,0.9954400276957434
Imports,-6.926433152328763e-05,0.0,0.0,0.9728963514906723
Exports,0.0011174407083908362,0.0,0.0,0.9149080803780336
PPI,0.0,-0.0,0.0,1.0
CPI,-0.04379769265751316,-0.10441205204817207,0.0,0.10288940476857578
