DATE,CPI,Unemp,Prod_Vol,Retail,Exports,Imports,Manuf,Total Reserves,Eff_Ex_Rate,Uncertainty,^GDAXI,Real GDP,price_comp
1991-01-01,63.99836,5.2,77.05526,107.9394,30180000000.0,28550000000.0,3.7283621837549905,68216.094149043,102.06,83.72122,1373.6118219549005,517733.8,98.9
1991-02-01,64.27823000000001,5.2,76.14754,106.0267,28540000000.0,26760000000.0,-1.5404364569961415,66422.2304108188,102.44,98.12363,1510.7430053710937,,99.2
1991-03-01,64.27823000000001,5.3,75.64325,107.1909,28430000000.0,27030000000.0,-0.782268578878759,59125.3020046582,100.53,105.46522,1545.8344970703124,,97.5
1991-04-01,64.55811,5.3,75.03811,105.4446,26080000000.0,26220000000.0,-0.7884362680683273,59721.9636105226,98.36,98.64008,1591.4033377511162,515466.2,95.5
1991-05-01,64.74469,5.3,73.82781,106.0267,28630000000.0,29020000000.0,-1.3245033112582718,60456.9680879592,98.19,94.92087,1633.6863114206417,,95.6
1991-06-01,65.11786,5.4,77.05526,108.1888,27400000000.0,27670000000.0,3.6241610738255,57692.8514604201,98.01,122.41663,1693.157489013672,,95.2
1991-07-01,65.8642,5.5,74.83639000000002,107.3573,28720000000.0,28400000000.0,-2.590673575129536,59482.9660894853,98.7,80.284,1624.096095872962,514515.3,96.2
1991-08-01,65.8642,5.6,73.6261,102.7835,29800000000.0,28210000000.0,-1.3297872340425467,60195.4759676449,99.02,79.84216,1624.8313709605825,,96.5
1991-09-01,65.8642,5.7,73.42439,102.6172,28260000000.0,27980000000.0,-0.9433962264151045,61226.7688098495,99.26,62.66256,1630.8995419456846,,97.1
1991-10-01,66.89041,5.8,74.53381,104.8625,28310000000.0,27530000000.0,2.1768707482993244,60359.8477842004,100.44,105.20462,1580.4222689541905,521756.9,96.9
1991-11-01,67.17029000000001,5.9,75.34068,102.4509,29860000000.0,28050000000.0,0.932090545938744,61507.3694253445,101.62,80.81589,1596.248992919922,,98.0
1991-12-01,67.26358,6.0,75.44154,101.7025,29920000000.0,26890000000.0,0.0,63000.8432819809,102.86,84.47098,1555.5811225043403,,99.0
1992-01-01,67.63675,6.0,76.34926,106.193,29090000000.0,28200000000.0,1.5831134564643867,60811.0382170055,102.71,52.97074,1647.63408314098,529126.3,98.4
1992-02-01,68.00992,6.1,77.66041,103.2825,29350000000.0,27910000000.0,1.2987012987012925,61523.4265355723,102.29,60.1513,1700.2565063476563,,98.0
1992-03-01,68.28979,6.2,75.44154,101.952,29810000000.0,27560000000.0,-2.948717948717949,61642.171467764,102.0,56.16439,1733.2536454634233,,98.0
1992-04-01,68.56966,6.3,75.34068,102.5341,30440000000.0,28760000000.0,0.0,63247.9358956798,102.06,70.48312,1733.809503173828,525907.9,98.3
1992-05-01,68.75625,6.4,74.83639000000002,101.7857,27690000000.0,27030000000.0,-0.924702774108318,62569.9163466775,102.02,91.90487,1764.5252685546875,,98.1
1992-06-01,68.94283,6.5,73.6261,101.2867,26190000000.0,25550000000.0,-1.4666666666666597,64106.3574628254,102.74,113.02247,1777.251983642578,,98.6
