DATE,Share_Prices,CPI,Prod_Vol,Intr_Rate,Intr_10Y,Total Reserves,Exchange,Exports,Imports,^FTSE,Real GDP,M1,Unemp,Emp
1/1/91,31.94394,57,77.40916,10.59,10.59,36097.31714,1.9346,8470339000,10027970000,2106.636386,346292,174324,7.8,71.9
2/1/91,34.54787,57.2,77.40916,10.13,10.13,39115.16734,1.9641,8318323000,9350975000,2278.359973,,174474,8,71.7
3/1/91,37.14758,57.5,76.56661,10.29,10.29,37275.22679,1.8214,8421284000,9984999000,2449.780005,,180070,8.2,71.5
4/1/91,38.1236,58.7,75.51343,10.19,10.19,38542.52653,1.7497,8711617000,9451614000,2514.171456,345892,178767,8.5,71.2
5/1/91,37.8074,59.2,76.4613,10.38,10.38,38501.92491,1.7238,8640139000,9692346000,2493.319022,,182331,8.7,71
6/1/91,37.83494,59.5,76.67194,10.58,10.58,38205.76386,1.6497,8740049000,10040320000,2495.13501,,185210,8.8,70.7
7/1/91,38.3652,59.3,76.04002,10.28,10.28,39257.88786,1.6513,8925630000,9861808000,2529.99545,345216,181565,9,70.5
8/1/91,39.43264,59.9,75.19747,10.03,10.03,39281.37509,1.6841,8914813000,10378010000,2600.499977,,180004,9.2,70.3
9/1/91,39.76111,60.1,75.30279,9.64,9.64,40364.90698,1.7265,8607252000,9997826000,2622.161923,,186067,9.3,70.1
10/1/91,39.13484,60.4,76.25066,9.72,9.72,39901.88781,1.7231,8779576000,9957173000,2580.860893,345643,181008,9.4,69.9
11/1/91,37.9859,60.5,76.4613,9.77,9.77,40456.38238,1.7796,8859028000,10146250000,2505.090483,,183658,9.5,69.8
12/1/91,36.5515,60.7,76.14534,9.66,9.66,41891.98461,1.8272,9189127000,9980129000,2410.495007,,183763,9.5,69.6
1/1/92,38.2148,60.5,76.14534,9.46,9.46,41163.64983,1.809,8470797000,9621351000,2520.186357,345523,181662,9.6,69.5
2/1/92,38.56544,60.8,76.56661,9.3,9.3,40861.01679,1.7778,8700043000,10206240000,2543.309998,,181842,9.7,69.4
3/1/92,37.83648,61.1,76.25066,9.68,9.68,40194.07407,1.7238,8799676000,10114470000,2495.23635,,188024,9.8,69.3
4/1/92,38.65847,61.8,76.77725,9.43,9.43,40869.31652,1.7566,9059574000,10585090000,2549.444995,344987,187699,9.8,69.2
5/1/92,40.97684,62.2,75.19747,9.02,9.02,41721.61767,1.8095,9233796000,10547980000,2702.33685,,188056,9.8,69.1
6/1/92,39.49233,62.2,75.9347,9.12,9.12,42653.6745,1.8551,8939610000,10022890000,2604.436379,,189989,9.9,69
7/1/92,37.04821,62,76.67194,9.05,9.05,43342.52389,1.9177,8972725000,10319060000,2443.252165,346628,186947,9.9,68.9
8/1/92,35.5448,62.1,76.56661,9.35,9.35,43515.06284,1.9434,8519217000,10629240000,2344.105029,,184141,9.9,68.9
9/1/92,37.18707,62.3,77.09321,9.19,9.19,40361.41027,1.8465,8973626000,10195490000,2452.40908,,191295,10.1,68.8
10/1/92,39.22931,62.5,77.93575,8.65,8.65,38574.09865,1.6529,9305676000,10669000000,2587.090909,349299,192629,10.2,68.7
11/1/92,41.1373,62.5,76.88257,8.19,8.19,37599.95775,1.5268,9589793000,11236800000,2711.475012,,195819,10.4,68.5
12/1/92,42.12423,62.6,76.77725,8.32,8.32,36641.02707,1.551,9721490000,11192260000,2778.004755,,191757,10.5,68.4
1/1/93,42.31052,62.4,76.88257,8.48,8.29,37721.36827,1.5325,9747426000,10599210000,2790.28999,351046,189553,10.7,68.3
2/1/93,43.06687,62.7,77.93575,8.11,7.95,38065.62719,1.4395,9807767000,11436920000,2840.169983,,192026,10.6,68.4
3/1/93,43.92835,63,77.30384,7.85,7.72,36729.26123,1.4617,9808387000,11253710000,2897.065217,,196573,10.6,68.3
4/1/93,43.02563,63.4,77.40916,7.97,7.89,38011.7913,1.5447,9669147000,11275940000,2837.450024,352612,196168,10.5,68.4
