Date,ENET_growth,ENET_level,LSTM_growth,LSTM_level,MLP_growth,MLP_level,XGB_growth,XGB_level,Act_growth,Act_level
1/1/94,,,,,,,0.027830251,9.38E+11,,9.38E+11
2/1/94,-0.030525511,9.38E+11,,,-0.030525511,9.38E+11,-0.001333237,9.36E+11,,9.38E+11
3/1/94,-0.033650558,9.06E+11,,,-0.033650558,9.06E+11,-0.029738503,9.09E+11,,9.38E+11
4/1/94,0.353019416,1.29E+12,,,0.353019416,1.29E+12,0.067545421,9.72E+11,0.202636257,1.15E+12
5/1/94,-0.141890198,1.12E+12,0.149252221,9.3751E+11,-0.141890198,1.12E+12,0.067545421,1.04E+12,0.202636257,1.15E+12
6/1/94,-0.008492939,1.11E+12,0.053384043,9.88918E+11,-0.008492939,1.11E+12,0.067545421,1.11E+12,0.202636257,1.15E+12
7/1/94,0.069019556,1.19E+12,0.22716108,1.24112E+12,0.069019556,1.19E+12,0.039719418,1.16E+12,0.114050114,1.29E+12
8/1/94,0.095825888,1.31E+12,-0.139651865,1.07936E+12,0.095825888,1.31E+12,0.078070752,1.25E+12,0.114050114,1.29E+12
9/1/94,-0.050795324,1.24E+12,0.0265409,1.10839E+12,-0.050795324,1.24E+12,-0.00374006,1.25E+12,0.114050114,1.29E+12
10/1/94,-0.049776886,1.18E+12,-0.540352285,6.45683E+11,-0.049776886,1.18E+12,0.006068991,1.26E+12,0.147509823,1.49E+12
11/1/94,0.035079014,1.23E+12,0.383803487,9.47771E+11,0.035079014,1.23E+12,0.135371834,1.44E+12,0.147509823,1.49E+12
12/1/94,0.162207693,1.44E+12,0.304058641,1.28456E+12,0.162207693,1.44E+12,0.006068991,1.45E+12,0.147509823,1.49E+12
1/1/95,-0.12769483,1.27E+12,-0.627905905,6.8558E+11,-0.12769483,1.27E+12,1.786512613,8.63E+12,-0.208081505,1.21E+12
2/1/95,-0.061263829,1.19E+12,0.834005356,1.57856E+12,-0.061263829,1.19E+12,-0.085584722,7.92E+12,-0.208081505,1.21E+12
3/1/95,-0.019122841,1.17E+12,-0.414180964,1.04324E+12,-0.019122841,1.17E+12,-1.909009337,1.17E+12,-0.208081505,1.21E+12
4/1/95,0.054538764,1.24E+12,-3.042675734,49770088854,0.054538764,1.24E+12,0.04734084,1.23E+12,0.187732773,1.46E+12
5/1/95,-0.116775446,1.10E+12,2.169656277,4.35751E+11,-0.116775446,1.10E+12,0.093051091,1.35E+12,0.187732773,1.46E+12
6/1/95,0.249969453,1.41E+12,1.060752153,1.25868E+12,0.249969453,1.41E+12,0.04734084,1.42E+12,0.187732773,1.46E+12
7/1/95,-0.047696367,1.35E+12,0.082875915,1.36744E+12,-0.047696367,1.35E+12,0.035135556,1.47E+12,0.100888034,1.62E+12
8/1/95,0.049457025,1.42E+12,-0.020808008,1.33928E+12,0.049457025,1.42E+12,0.069060914,1.57E+12,0.100888034,1.62E+12
9/1/95,0.099127382,1.56E+12,0.038820129,1.3923E+12,0.099127382,1.56E+12,-0.003308434,1.57E+12,0.100888034,1.62E+12
10/1/95,-2.540777922,1.23E+11,0.15145278,1.61997E+12,-2.540777922,1.23E+11,0.069032341,1.68E+12,0.132336675,1.85E+12
11/1/95,1.605709553,6.14E+11,0.019014716,1.65107E+12,1.605709553,6.14E+11,0.069032341,1.80E+12,0.132336675,1.85E+12
12/1/95,1.067405224,1.78E+12,-0.038130827,1.5893E+12,1.067405224,1.78E+12,-0.005728002,1.79E+12,0.132336675,1.85E+12
