Variables,Coefficient,Lower_CI_95,Upper_CI_95,P_Value,importance
Eff. Exchange Rate,0,0,0,1,0
SSEC,-0.011882375,-0.104256759,0,0.683530258,0
US imports,0.096105609,0,0.226991252,0.117545474,0.28342268
Exchange,0,0,0,1,0
Uncertainty,-0.014650104,-0.075172212,0.028714764,0.566840294,0
Total Reserves,3.46E-06,0,0,0.995440028,0
Imports,-6.93E-05,0,0,0.972896351,0
Exports,0.001117441,0,0,0.91490808,0
PPI,0,0,0,1,0.25038484
CPI,-0.043797693,-0.104412052,0,0.102889405,0.46619245
,,,,,
,,,,,
