Date,ENET_growth,ENET_level,LSTM_growth,LSTM_level,MLP_growth,MLP_level,XGB_growth,XGB_level,Act_growth,Act_level
1/1/91,,,,,,,0.002982664,517733.8,,517733.8
2/1/91,-0.011060194,517733.8,,,0.002365274,517733.8,-0.003032447,516166.1777,,517733.8
3/1/91,-0.005594409,514845.4721,,,0.002114989,518829.96,0.00067453,516514.4646,,517733.8
4/1/91,0.002307078,516034.6319,,,3.13E-05,518846.1814,-0.002996694,514968.9459,-0.004389477,515466.2
5/1/91,0.003895324,518048.6741,0.00106235,517733.8,4.11E-05,518867.5018,0.000398088,515173.9897,-0.004389477,515466.2
6/1/91,-0.010591878,512590.5226,-0.005451826,514918.8854,-0.004461832,516557.5591,-0.001790871,514252.205,-0.004389477,515466.2
7/1/91,-0.000980262,512088.2956,-0.004213715,512753.7291,-0.000615009,516239.9692,9.50E-05,514301.0753,-0.001846441,514515.3
8/1/91,-0.00051246,511825.9382,0.002295522,513932.1187,-0.000705282,515876.0026,-0.000742938,513919.1233,-0.001846441,514515.3
9/1/91,-0.000353719,511644.9275,7.18E-05,513968.9949,-0.00052615,515604.6458,-0.001198531,513303.5445,-0.001846441,514515.3
10/1/91,0.009634957,516598.4294,0.006225307,517178.5894,0.007527116,519500.305,0.00203873,514351.0992,0.013976478,521756.9
11/1/91,0.004356841,518854.0766,0.007380071,521009.5228,0.003022223,521072.7257,0.003601728,516206.9921,0.013976478,521756.9
12/1/91,-1.53E-05,518846.1281,0.000371101,521202.9061,0.003427138,522861.5776,0.008336021,520528.0896,0.013976478,521756.9
1/1/92,-0.786109637,236393.4847,-0.003867604,519190.993,0.005928211,525970.4174,0.006256146,523794.7974,0.014025385,529126.3
2/1/92,-0.618607419,127343.7732,-0.004012329,517112.0015,0.005273529,528751.4641,0.002982999,525359.6097,0.014025385,529126.3
3/1/92,1.418742441,526174.4158,0.021905318,528564.4815,0.002823645,530246.5806,0.00478624,527880.134,0.014025385,529126.3
4/1/92,-6.13E-05,526142.1603,-0.013222752,521621.4088,-0.00225822,529050.5179,0.00211406,528997.2847,-0.006101053,525907.9
5/1/92,-0.002358516,524902.708,0.009341936,526517.1948,-0.00202987,527977.7034,-0.004342995,526704.8338,-0.006101053,525907.9
6/1/92,-0.003681234,522973.9705,-0.002220237,525349.4988,-0.001812963,527021.3666,-0.003872119,524669.3136,-0.006101053,525907.9
7/1/92,-0.001544747,522166.7317,-0.000508578,525082.3857,-0.000807718,526595.8539,0.000256269,524803.7875,-0.002645975,524518.2
8/1/92,0.000698175,522531.4225,0.002159569,526217.5626,-0.000602571,526278.6379,-0.001958182,523777.1316,-0.002645975,524518.2
9/1/92,-0.001799403,521592.0234,-0.004296967,523961.2743,-0.001235686,525628.7243,-0.000944063,523282.8865,-0.002645975,524518.2
10/1/92,0.000178459,521685.1147,-0.012251753,517580.9946,-0.001563956,524807.3064,0.001961777,524310.4582,-0.002932698,522982.2
11/1/92,-0.001400519,520954.996,0.011675274,523659.3085,-0.00059941,524492.8261,-0.004583157,521912.9595,-0.002932698,522982.2
12/1/92,-0.001710638,520064.5924,-0.002356218,522426.9055,-0.000769332,524089.4723,-0.000311318,521750.5041,-0.002932698,522982.2
1/1/93,-0.002465334,518784.0388,-0.003392556,520657.546,-0.003928298,522034.7313,-0.006809731,518209.5938,-0.007863416,518885.9
2/1/93,-0.005315729,516033.6401,0.011040187,526437.5503,-0.001602915,521198.6241,-0.0006282,517884.157,-0.007863416,518885.9
3/1/93,-8.24E-05,515991.1448,-0.015511047,518334.955,-0.002332203,519984.4994,-0.000425486,517663.8512,-0.007863416,518885.9
4/1/93,0.000177918,516082.957,0.000314516,518498.0053,0.000105329,520039.2716,4.91E-05,517689.2895,0.00042274,519105.3
5/1/93,1.60E-05,516091.2276,-0.000363227,518309.7071,0.000225967,520156.7968,0.000535626,517966.6514,0.00042274,519105.3
6/1/93,0.000228796,516209.3208,0.00047145,518554.1221,9.14E-05,520204.3639,-0.000162025,517882.7345,0.00042274,519105.3
7/1/93,-0.007306717,512451.2715,0.011641053,524625.9108,0.001110108,520782.1675,-0.004956227,515322.3404,0.005620412,522031.1
8/1/93,0.017202263,521342.8513,-0.019444916,514523.1458,0.003259848,522482.6085,0.012020031,521553.9077,0.005620412,522031.1
9/1/93,-0.004275134,519118.7984,0.013424275,521476.8158,0.001250456,523136.3585,-0.001443392,520801.6438,0.005620412,522031.1
10/1/93,-0.000485804,518866.6698,-0.00057821,521175.3799,-0.000207232,523027.959,0.000387097,521003.2835,-0.000700778,521665.4
11/1/93,0.000887564,519327.4019,0.000291904,521327.5353,-0.000275869,522883.692,-0.000422356,520783.2813,-0.000700778,521665.4
12/1/93,-0.001102539,518755.1386,-0.000414473,521111.5041,-0.000217678,522769.8842,-0.00066552,520436.8051,-0.000700778,521665.4
