Date,ENET_growth,ENET_level,LSTM_growth,LSTM_level,MLP_growth,MLP_level,XGB_growth,XGB_level,Act_growth,Act_level
1992-01-01,,,,,,,0.002451535,10236.435,,10236.435
1992-02-01,0.00545699,10236.435,,,0.002300061,10236.435,0.001674084,10253.586,,10236.435
1992-03-01,0.005973126,10297.76149,,,0.00142467,10251.02894,0.001926327,10273.35679,,10236.435
1992-04-01,0.003888222,10337.87942,,,0.003106149,10282.91967,0.003773819,10312.19983,0.010784669,10347.429
1992-05-01,0.003781077,10377.04173,0.005389445,10236.435,0.003263969,10316.53763,0.004195192,10355.55236,0.010784669,10347.429
1992-06-01,0.003115369,10409.42046,0.005395223,10291.8121,0.00441455,10362.18118,0.002815657,10384.75113,0.010784669,10347.429
1992-07-01,0.004014626,10451.29438,0.003369542,10326.54929,0.003557427,10399.10953,0.004145061,10427.88589,0.009832603,10449.673
1992-08-01,0.002633089,10478.84983,0.003189791,10359.54141,0.003360686,10434.11646,0.002550164,10454.51266,0.009832603,10449.673
1992-09-01,0.003184888,10512.277,0.003273269,10393.50653,0.002914489,10464.57094,0.003137378,10487.36392,0.009832603,10449.673
1992-10-01,0.003200782,10545.97841,0.002922639,10423.92743,0.003204625,10498.15976,0.002714691,10515.87255,0.010374554,10558.648
1992-11-01,0.003300988,10580.84808,0.003597908,10461.49932,0.001719338,10516.22517,0.003892981,10556.89043,0.010374554,10558.648
1992-12-01,0.003872784,10621.90487,0.003854007,10501.8958,0.005450591,10573.70131,0.003766882,10596.73198,0.010374554,10558.648
1993-01-01,0.000556652,10627.81922,0.000574634,10507.93228,0.000615645,10580.21296,0.000284748,10599.74982,0.001668045,10576.275
1993-02-01,0.000619151,10634.40148,0.000513524,10513.32975,0.000595128,10586.51142,0.001071495,10611.11348,0.001668045,10576.275
1993-03-01,0.000492242,10639.63747,0.000579887,10519.42805,0.000457272,10591.35344,0.000311802,10614.42256,0.001668045,10576.275
1993-04-01,0.002236703,10663.46181,0.001858894,10539.00075,0.002616826,10619.10546,0.00276852,10643.84952,0.005804829,10637.847
1993-05-01,0.001569298,10680.2091,0.001990411,10559.99858,0.002207373,10642.57168,0.001610659,10661.00694,0.005804829,10637.847
1993-06-01,0.001998828,10701.57835,0.001955523,10580.66911,0.00098063,10653.01322,0.00142565,10676.21665,0.005804829,10637.847
1993-07-01,0.001625001,10718.98257,0.001605904,10597.67429,0.001833734,10672.56594,0.001558249,10692.86582,0.0047602,10688.606
1993-08-01,0.001377495,10733.75808,0.00171498,10615.86469,0.001558432,10689.21137,0.0013581,10707.39767,0.0047602,10688.606
1993-09-01,0.001757705,10752.64145,0.001439317,10631.15528,0.001368035,10703.84459,0.001843851,10727.15873,0.0047602,10688.606
1993-10-01,0.004398175,10800.0376,0.004720351,10681.45669,0.003812814,10744.73426,0.004101138,10771.24263,0.013509823,10833.987
1993-11-01,0.00405659,10843.9379,0.004675915,10731.51922,0.001495527,10760.81533,0.005116414,10826.49398,0.013509823,10833.987
1993-12-01,0.005055059,10898.89343,0.004113557,10775.75486,0.008201482,10849.43286,0.004292271,10873.06411,0.013509823,10833.987
1994-01-01,0.003113327,10932.87812,0.001976761,10797.07702,0.002834487,10880.22907,0.002614163,10901.52526,0.009656852,10939.116
1994-02-01,0.002928802,10964.94529,0.003093792,10830.53266,0.00146704,10896.20251,0.003257534,10937.09525,0.009656852,10939.116
1994-03-01,0.003614723,11004.65226,0.004586298,10880.31879,0.005355325,10954.71174,0.003785155,10978.5723,0.009656852,10939.116
1994-04-01,0.004104913,11049.91824,0.008397423,10972.07013,0.002269906,10979.60615,0.003528044,11017.37359,0.013460822,11087.361
1994-05-01,0.004321868,11097.77787,0.006039717,11038.53885,0.005777744,11043.22712,0.001890579,11038.22251,0.013460822,11087.361
1994-06-01,0.005034041,11153.78539,-0.000976318,11027.76699,0.005413172,11103.1681,0.008042199,11127.352,0.013460822,11087.361
1994-07-01,0.001662369,11172.34252,0.002025572,11050.12716,0.002065653,11126.12709,0.001072276,11139.28999,0.005828825,11152.176
1994-08-01,0.002225424,11197.23341,0.002109325,11073.46006,0.002092475,11149.4326,0.002126744,11163.00562,0.005828825,11152.176
1994-09-01,0.001941032,11218.9887,0.001693928,11092.23361,0.001670698,11168.07551,0.002629805,11192.40078,0.005828825,11152.176
1994-10-01,0.00394011,11263.27995,0.002089336,11115.43324,0.001739503,11187.51932,0.003824664,11235.28992,0.011390582,11279.932
1994-11-01,0.003682169,11304.8297,0.003529447,11154.73388,0.005478062,11248.97341,0.002948187,11268.46253,0.011390582,11279.932
1994-12-01,0.003768303,11347.51008,0.005771799,11219.30292,0.004173017,11296.01364,0.004617732,11320.61759,0.011390582,11279.932
1995-01-01,0.001165657,11360.7451,0.001054749,11231.14272,0.001063282,11308.03088,0.001362583,11336.05339,0.003541526,11319.951
1995-02-01,0.001144424,11373.75405,0.001218498,11244.83619,0.000926591,11318.51365,0.000723895,11344.26247,0.003541526,11319.951
1995-03-01,0.001231445,11387.76884,0.001268279,11259.10682,0.001551654,11336.0897,0.001455048,11360.78094,0.003541526,11319.951
1995-04-01,0.00086053,11397.57257,-0.00058274,11252.5476,0.00066106,11343.58601,0.000590642,11367.49307,0.002978787,11353.721
1995-05-01,0.001087943,11409.97923,0.001402893,11268.3448,0.001487804,11360.4756,0.001128743,11380.33129,0.002978787,11353.721
1995-06-01,0.001030314,11421.74115,0.002158634,11292.69531,0.000829924,11369.90784,0.001259403,11394.67274,0.002978787,11353.721
1995-07-01,0.002223475,11447.16536,0.003630158,11333.76407,0.002642407,11399.9915,0.001227663,11408.67014,0.008471272,11450.31
1995-08-01,0.003354658,11485.63117,0.002892362,11366.59288,0.001835406,11420.93432,0.003907531,11453.33709,0.008471272,11450.31
1995-09-01,0.002893139,11518.90882,0.001948753,11388.76515,0.00399346,11466.63456,0.003336078,11491.61012,0.008471272,11450.31
1995-10-01,0.001853128,11540.27462,0.002293033,11414.90993,0.002491611,11495.24057,0.00152469,11509.14462,0.006767867,11528.067
1995-11-01,0.002469888,11568.81303,0.002219676,11440.27547,0.001560257,11513.1901,0.003139492,11545.33427,0.006767867,11528.067
1995-12-01,0.002444851,11597.13166,0.002255158,11466.10421,0.002715999,11544.50241,0.002103685,11569.64758,0.006767867,11528.067
1996-01-01,0.001538301,11614.98527,0.001755223,11486.24746,0.000295218,11547.91106,0.001719158,11589.55474,0.007462587,11614.418
1996-02-01,0.003722669,11658.3046,0.002797842,11518.42916,0.004464002,11599.5762,0.003057049,11625.03879,0.007462587,11614.418
1996-03-01,0.002201617,11683.99999,0.002909522,11551.99108,0.002703366,11630.97652,0.002686379,11656.31004,0.007462587,11614.418
1996-04-01,0.005269357,11745.72966,0.008901529,11655.2805,-0.005378446,11568.58787,0.005502541,11720.62615,0.016541867,11808.14
1996-05-01,0.005697637,11812.84357,0.005645357,11721.26479,0.012366517,11712.53926,0.005766208,11788.40495,0.016541867,11808.14
1996-06-01,0.005574873,11878.88258,0.00199498,11744.67183,0.009553797,11824.97471,0.005273117,11850.73077,0.016541867,11808.14
1996-07-01,0.002178963,11904.79444,0.000421155,11749.6192,0.002001621,11848.66754,0.002431355,11879.57916,0.008930343,11914.063
1996-08-01,0.003387566,11945.19111,0.005201639,11810.89571,0.005626614,11915.52332,0.003469343,11920.86507,0.008930343,11914.063
1996-09-01,0.003363814,11985.44016,0.003307549,11850.0255,0.001302109,11931.04873,0.003029644,11957.03582,0.008930343,11914.063
1996-10-01,0.003219224,12024.08615,0.013489759,12010.96254,0.008609997,12034.21853,0.002382335,11985.55544,0.010330155,12037.775
1996-11-01,0.003717359,12068.86718,-0.002554483,11980.3199,0.002612723,12065.70173,0.004827186,12043.55182,0.010330155,12037.775
1996-12-01,0.003393572,12109.89332,-0.00060512,11973.07255,-0.000892566,12054.9371,0.003120633,12081.19403,0.010330155,12037.775
1997-01-01,0.001991989,12134.04014,0.001306493,11988.72551,0.000847734,12065.16081,0.001779341,12102.70974,0.006433691,12115.472
1997-02-01,0.002419997,12163.44004,0.00274746,12021.70935,0.003085943,12102.45072,0.003026749,12139.39709,0.006433691,12115.472
1997-03-01,0.002021705,12188.05581,0.002379738,12050.35194,0.002500014,12132.74486,0.001627601,12159.17127,0.006433691,12115.472
1997-04-01,0.004301692,12240.59799,0.004159735,12100.58261,0.008094297,12231.34943,0.004375039,12212.48466,0.016515051,12317.221
1997-05-01,0.006386378,12319.02123,0.006241999,12176.35065,0.002650958,12263.81724,0.00593624,12285.19651,0.016515051,12317.221
1997-06-01,0.005826981,12391.01348,0.006113316,12251.01653,0.005769798,12334.78151,0.006203773,12361.64797,0.016515051,12317.221
