Variables,Coefficient,Lower_CI_95,Upper_CI_95,P_Value,importance
Industrial Production,0.1386 ,0.0656 ,0.2198 ,0.0004 ,0.0675 
Real Personal Consum.,0.0755 ,0.0000 ,0.1868 ,0.1603 ,0.2029 
Nonfarm Payroll Emp.,0.0949 ,0.0000 ,0.1923 ,0.0531 ,0.0909 
Net Exports,0.0011 ,-0.0324 ,0.0343 ,0.9475 ,0.0512 
M1,-0.0288 ,-0.0862 ,0.0195 ,0.2905 ,0.0423 
M2,-0.0652 ,-0.1598 ,0.0000 ,0.1567 ,0.0638 
CPI (All Items),0.0567 ,-0.0294 ,0.1663 ,0.3043 ,0.0379 
S&P 500 ,0.0191 ,0.0030 ,0.0344 ,0.0164 ,0.1041 
Interest Rate (10Y Trea.),-0.0023 ,-0.0163 ,0.0117 ,0.7434 ,0.0221 
Moody's AAA Bond Yield,0.0114 ,-0.0130 ,0.0382 ,0.3791 ,0.0718 
Labor Force Participation,-0.0273 ,-0.1284 ,0.0148 ,0.4937 ,0.0555 
"Avg. Week. Hours, Manuf.",0.0002 ,-0.0015 ,0.0019 ,0.8208 ,0.0276 
Effect. Fed Funds Rate,-0.0002 ,-0.0007 ,0.0004 ,0.5465 ,0.0836 
Unemployment Rate,-0.0007 ,-0.0015 ,0.0000 ,0.0616 ,0.0573 
Personal Savings Rate ,0.0003 ,-0.0003 ,0.0009 ,0.2982 ,0.0215 
